@ Lines starting with @ are comments
@ Columns:
@  Ch            - channel number
@  Width         - ingore, set to 1.0
@  Crosssection  - ignore, set to 1.0
@  Reaction      - channel reaction
@
@ when first number is divisible by 3 (0*, 3*, 6* etc.) the channel describe background for Lambda(1520) diLepton decay
@ when first number is even (2*, 4*, 6* etc.) the channel describe background for cascade production
@ when firs number is divisible by 2 and 3 (0*,6*), channel belongs to both simulations
@Ch    Width    Crossection    Reaction


@ pp elastic and quasi-elastics
@ 0   1.0     0.0        p,p
  1   1.0     0.0        p,p,pi0
  2   1.0     0.0        p,p,pi0,pi0
  3   1.0     0.0        p,p,pi+,pi-
  4   1.0     0.0        p,p,pi0,pi0,pi0
  5   1.0  1840.0        p,p,pi+,pi-,pi0
  6   1.0   300.0        p,p,pi0,pi0,pi0,pi0
  7   1.0   300.0        p,p,pi+,pi-,pi0,pi0
  8   1.0   300.0        p,p,pi+,pi-,pi+,pi-
  9   1.0     0.0        p,p,pi0,pi0,pi0,pi0,pi0
 10   1.0     0.0        p,p,pi+,pi-,pi0,pi0,pi0
 11   1.0     0.0        p,p,pi+,pi-,pi+,pi-,pi0

 20   1.0     0.0        p,n,pi+
 21   1.0     0.0        p,n,pi+,pi0
 22   1.0     0.0        p,n,pi+,pi0,pi0
 23   1.0     0.0        p,n,pi+,pi+,pi-
 24   1.0     0.0        p,n,pi+,pi0,pi0,pi0
 25   1.0     0.0        p,n,pi+,pi+,pi-,pi0
 26   1.0     0.0        p,n,pi+,pi0,pi0,pi0,pi0
 27   1.0     0.0        p,n,pi+,pi+,pi-,pi0,pi0
 28   1.0     0.0        p,n,pi+,pi+,pi-,pi+,pi-

@ Delta dalitz
 50   1.0     1.0        D+[dilepton[e+,e-],p],p,pi+,pi-
 51   1.0     1.0        D0[dilepton[e+,e-],n],p,pi+,pi+,pi-
 52   1.0     1.0        D+[dilepton[e+,e-],p],Lambda,K+
 53   1.0     1.0        D0[dilepton[e+,e-],n],Lambda,K+,pi+

@ Lambda1115 + K+
100   1.0     1.0        p,Lambda,K+
101   1.0     1.0        p,Lambda,K+,pi0
102   1.0     1.0        p,Lambda,K+,pi0,pi0
103   1.0    21.3        p,Lambda,K+,pi+,pi-
104   1.0     0.0        p,Lambda,K+,pi0,pi0,pi0
105   1.0    21.3        p,Lambda,K+,pi+,pi-,pi0
106   1.0     0.0        p,Lambda,K+,pi0,pi0,pi0,pi0
107   1.0    21.3        p,Lambda,K+,pi+,pi-,pi0,pi0
108   1.0    21.3        p,Lambda,K+,pi+,pi-,pi+,pi-

120   1.0     0.0        n,Lambda,K+,pi+
121   1.0     0.0        n,Lambda,K+,pi+,pi0
122   1.0     0.0        n,Lambda,K+,pi+,pi0,pi0
123   1.0     0.0        n,Lambda,K+,pi+,pi+,pi-
124   1.0     0.0        n,Lambda,K+,pi+,pi+,pi-,pi0

@ Lambda1115 + K0s
140   1.0    60.0        p,Lambda,K0S,pi+
141   1.0     0.0        p,Lambda,K0S,pi+,pi0
142   1.0     0.0        p,Lambda,K0S,pi+,pi0,pi0
143   1.0     0.0        p,Lambda,K0S,pi+,pi+,pi-
